iter	RMSE
0	7191501.422
1	6815184.909
2	6482317.24
3	6183967.291
4	5915950.319
5	5677970.07
6	5468570.719
7	5283499.575
8	5119266.166
9	4962977.29
10	4834430.7
11	4715660.458
12	4606432.959
13	4512282.918
14	4431843.114
15	4361923.825
16	4297370.179
17	4237742.46
18	4185365.067
19	4143321.363
20	4099071.368
21	4060242.362
22	4022867.016
23	3983273.378
24	3954629.822
25	3926255.224
26	3904416.602
27	3881154.456
28	3861392.62
29	3841166.159
30	3821097.254
31	3806426.872
32	3779179.988
33	3765071.662
34	3751120.821
35	3728858.488
36	3716321.681
37	3692210.826
38	3681219.772
39	3670113.853
40	3660867.466
41	3652732.232
42	3643203.86
43	3634852.807
44	3628810.808
45	3622429.784
46	3610524.776
47	3598540.733
48	3589972.491
49	3581467.069
50	3574374.074
51	3567802.645
52	3562349.584
53	3558001.99
54	3550933.783
55	3545575.258
56	3538426.905
57	3534000.917
58	3530605.128
59	3522283.635
60	3517728.849
61	3512458.727
62	3503794.654
63	3493378.351
64	3488737.529
65	3486179.158
66	3477140.15
67	3468741.437
68	3461424.334
69	3455419.941
70	3450737.686
71	3446427.712
72	3444274.14
73	3442261.876
74	3438477.684
75	3435552.812
76	3431959.418
77	3428929.905
78	3425409.14
79	3422879.997
80	3417638.871
81	3413886.281
82	3410033.943
83	3406693.589
84	3404002.183
85	3401585.802
86	3396884.461
87	3393534.408
88	3390992.906
89	3386194.148
90	3383728.639
91	3378914.144
92	3376578.764
93	3374247.25
94	3371721.668
95	3367757.754
96	3362814.867
97	3358462.857
98	3356602.123
99	3355360.615
100	3353430.641
101	3346919.976
102	3344741.212
103	3340849.201
104	3339221.196
105	3337508.035
106	3334317.226
107	3332429.827
108	3330173.321
109	3326818.806
110	3324462.156
111	3323199.092
112	3321170.44
113	3318904.141
114	3314416.931
115	3312330.175
116	3310577.852
117	3308828.143
118	3307621.827
119	3306678.011
120	3305072.095
121	3302186.506
122	3300619.663
123	3298270.767
124	3296110.219
125	3292554.812
126	3291524.585
127	3287076.639
128	3285911.093
129	3284089.705
130	3282128.044
131	3279437.893
132	3278182.042
133	3276529.871
134	3274432.271
135	3272612.973
136	3271636.498
137	3269100.239
138	3267247.737
139	3266049.891
140	3264370.831
141	3261541.126
142	3260367.857
143	3259266.141
144	3256862.948
145	3255806.266
146	3251421.265
147	3250140.898
148	3248367.782
149	3247279.388
150	3246642.228
151	3245466.033
152	3244341.532
153	3243724.607
154	3241450.795
155	3239133.457
156	3236475.776
157	3235522.758
158	3234540.791
159	3233434.964
160	3231195.868
161	3229875.145
162	3228620.331
163	3227578.432
164	3226088.904
165	3225159.501
166	3224263.263
167	3222884.93
168	3220484.928
169	3217107.455
170	3215945.716
171	3214993.958
172	3214035.295
173	3212234.512
174	3211555.362
175	3210301.468
176	3208567.294
177	3207029.507
178	3205898.361
179	3204665.225
180	3203995.188
181	3202747.289
182	3202013.694
