iter	Passed	Remaining
0	15	15165
1	30	15328
2	45	15128
3	60	14979
4	74	14765
5	89	14799
6	103	14750
7	119	14797
8	133	14722
9	149	14779
10	162	14640
11	177	14584
12	193	14703
13	208	14655
14	222	14613
15	236	14548
16	251	14568
17	266	14517
18	280	14485
19	294	14437
20	308	14403
21	323	14368
22	337	14322
23	353	14355
24	366	14293
25	380	14261
26	394	14217
27	408	14174
28	421	14107
29	435	14082
30	450	14068
31	464	14044
32	480	14072
33	494	14050
34	507	13998
35	522	13985
36	536	13963
37	552	13991
38	566	13950
39	581	13954
40	594	13916
41	608	13871
42	622	13851
43	636	13833
44	649	13781
45	661	13713
46	676	13725
47	691	13723
48	709	13761
49	724	13764
50	739	13761
51	753	13738
52	768	13723
53	782	13701
54	795	13663
55	809	13646
56	824	13643
57	839	13629
58	852	13591
59	865	13563
60	878	13522
61	891	13484
62	905	13460
63	919	13442
64	932	13417
65	945	13386
66	961	13390
67	976	13383
68	990	13370
69	1004	13340
70	1017	13314
71	1031	13298
72	1044	13267
73	1057	13237
74	1072	13223
75	1086	13210
76	1100	13195
77	1113	13162
78	1125	13125
79	1138	13093
80	1153	13082
81	1166	13063
82	1182	13061
83	1195	13039
84	1210	13034
85	1224	13014
86	1239	13007
87	1253	12990
88	1267	12969
89	1282	12965
90	1295	12940
91	1310	12937
92	1326	12934
93	1339	12910
94	1353	12891
95	1367	12880
96	1383	12877
97	1398	12870
98	1412	12854
99	1426	12836
100	1438	12804
101	1471	12950
102	1484	12928
103	1499	12915
104	1511	12882
105	1524	12861
106	1539	12844
107	1552	12821
108	1567	12810
109	1582	12801
110	1595	12775
111	1608	12752
112	1622	12735
113	1636	12715
114	1651	12709
115	1663	12680
116	1677	12660
117	1691	12644
118	1704	12620
119	1716	12585
120	1729	12562
121	1743	12551
122	1756	12522
123	1770	12507
124	1784	12493
125	1800	12492
126	1813	12468
127	1830	12471
128	1843	12446
129	1857	12429
130	1872	12418
131	1885	12397
132	1898	12376
133	1912	12357
134	1926	12345
135	1940	12328
136	1955	12316
137	1969	12300
138	1983	12285
139	1995	12255
140	2006	12225
141	2020	12210
142	2033	12184
143	2046	12164
144	2060	12151
145	2072	12123
146	2088	12116
147	2103	12107
148	2116	12088
149	2129	12069
150	2142	12045
151	2156	12029
152	2170	12013
153	2181	11983
154	2195	11971
155	2212	11971
156	2226	11957
157	2238	11929
158	2250	11902
159	2264	11886
160	2278	11871
161	2289	11845
162	2303	11830
163	2316	11808
164	2330	11794
165	2342	11767
166	2354	11741
167	2367	11724
168	2381	11708
169	2396	11699
170	2408	11677
171	2421	11655
172	2433	11632
173	2446	11614
174	2459	11595
175	2473	11579
176	2488	11571
177	2503	11562
178	2519	11557
179	2536	11553
180	2550	11539
181	2564	11527
182	2575	11500
183	2589	11483
184	2602	11466
185	2616	11449
186	2630	11434
187	2644	11420
188	2658	11405
189	2672	11395
190	2685	11376
191	2699	11361
192	2712	11341
193	2726	11328
194	2739	11309
195	2754	11299
196	2767	11279
197	2780	11264
198	2795	11250
199	2809	11236
200	2823	11224
201	2837	11210
202	2852	11199
203	2866	11185
204	2881	11173
205	2895	11159
206	2908	11143
207	2921	11125
208	2935	11109
209	2949	11093
210	2967	11096
211	2982	11087
212	2996	11072
213	3008	11051
214	3022	11035
215	3036	11023
216	3051	11009
217	3063	10988
218	3076	10970
219	3090	10956
220	3102	10936
221	3116	10922
222	3130	10906
223	3142	10887
224	3156	10870
225	3170	10857
226	3185	10848
227	3201	10838
228	3216	10830
229	3230	10816
230	3244	10802
231	3258	10788
232	3272	10771
233	3286	10756
234	3298	10736
235	3313	10727
236	3326	10710
237	3340	10694
238	3355	10683
239	3368	10665
240	3380	10646
241	3393	10630
242	3408	10618
243	3422	10605
244	3435	10585
245	3446	10564
246	3461	10551
247	3473	10533
248	3485	10513
249	3498	10494
250	3511	10478
251	3525	10465
252	3539	10450
253	3553	10436
254	3567	10422
255	3583	10413
256	3596	10398
257	3611	10387
258	3626	10375
259	3640	10361
260	3655	10349
261	3670	10339
262	3686	10330
263	3701	10318
264	3714	10301
265	3728	10288
266	3741	10271
267	3754	10254
268	3767	10238
269	3782	10225
270	3794	10207
271	3807	10189
272	3820	10175
273	3835	10161
274	3848	10145
275	3861	10129
276	3874	10112
277	3887	10096
278	3901	10082
279	3914	10067
280	3929	10054
281	3942	10039
282	3957	10027
283	3970	10009
284	3982	9991
285	3994	9973
286	4009	9960
287	4023	9946
288	4036	9930
289	4050	9915
290	4064	9903
291	4079	9892
292	4094	9880
293	4109	9869
294	4122	9853
295	4136	9838
296	4150	9825
297	4164	9810
298	4178	9796
299	4193	9785
300	4208	9773
301	4222	9759
302	4235	9743
303	4248	9726
304	4263	9714
305	4276	9700
306	4291	9686
307	4304	9671
308	4318	9656
309	4330	9638
310	4345	9626
311	4358	9611
312	4371	9595
313	4386	9583
314	4399	9567
315	4414	9555
316	4427	9540
317	4440	9524
318	4455	9512
319	4470	9499
320	4483	9484
321	4498	9471
322	4512	9457
323	4525	9442
324	4539	9429
325	4555	9419
326	4568	9402
327	4583	9390
328	4596	9374
329	4609	9358
330	4622	9342
331	4635	9326
332	4649	9313
333	4664	9300
334	4678	9287
335	4693	9275
336	4706	9258
337	4719	9243
338	4733	9228
339	4747	9215
340	4760	9200
341	4774	9185
342	4787	9171
343	4801	9155
344	4817	9145
345	4830	9130
346	4846	9119
347	4859	9105
348	4874	9091
349	4884	9071
350	4900	9061
351	4916	9050
352	4930	9037
353	4944	9022
354	4957	9007
355	4970	8991
356	4984	8977
357	4998	8963
358	5010	8946
359	5027	8936
360	5039	8919
361	5053	8905
362	5067	8893
363	5081	8878
364	5097	8867
365	5109	8851
366	5125	8840
367	5139	8826
368	5151	8809
369	5165	8795
370	5179	8781
371	5195	8770
372	5210	8758
373	5225	8746
374	5238	8730
375	5251	8714
376	5265	8702
377	5280	8688
378	5293	8674
379	5309	8662
380	5324	8649
381	5337	8634
382	5350	8618
383	5364	8606
384	5377	8590
385	5391	8576
386	5404	8561
387	5417	8545
388	5432	8532
389	5447	8521
390	5463	8509
391	5476	8494
392	5488	8477
393	5500	8460
394	5514	8445
395	5528	8432
396	5543	8419
397	5558	8406
398	5570	8390
399	5586	8380
400	5600	8366
401	5613	8350
402	5628	8338
403	5639	8320
404	5655	8308
405	5668	8293
406	5682	8280
407	5696	8266
408	5711	8253
409	5727	8241
410	5741	8227
411	5753	8211
412	5767	8196
413	5779	8180
414	5793	8166
415	5805	8150
416	5819	8136
417	5833	8121
418	5846	8107
419	5861	8094
420	5874	8079
421	5884	8060
422	5897	8045
423	5911	8030
424	5925	8016
425	5937	8000
426	5955	7992
427	5967	7974
428	5980	7960
429	5993	7944
430	6009	7934
431	6023	7919
432	6036	7904
433	6048	7887
434	6062	7874
435	6077	7861
436	6090	7847
437	6105	7834
438	6119	7820
439	6134	7807
440	6150	7795
441	6163	7780
442	6177	7766
443	6190	7752
444	6202	7735
445	6218	7724
446	6233	7711
447	6246	7696
448	6258	7680
449	6271	7664
450	6283	7649
451	6296	7634
452	6311	7621
453	6324	7606
454	6337	7591
455	6352	7578
456	6367	7565
457	6382	7552
458	6396	7539
459	6411	7526
460	6432	7521
461	6453	7515
462	6472	7507
463	6485	7492
464	6499	7478
465	6513	7463
466	6527	7450
467	6541	7436
468	6555	7421
469	6570	7409
470	6584	7395
471	6596	7379
472	6610	7365
473	6625	7352
474	6639	7338
475	6651	7322
476	6665	7307
477	6679	7294
478	6696	7283
479	6714	7273
480	6727	7258
481	6741	7245
482	6755	7231
483	6768	7216
484	6781	7200
485	6795	7187
486	6806	7170
487	6821	7157
488	6836	7144
489	6851	7130
490	6864	7116
491	6878	7102
492	6893	7088
493	6906	7074
494	6922	7061
495	6936	7048
496	6950	7034
497	6966	7022
498	6978	7006
499	6990	6990
500	7003	6975
501	7018	6962
502	7031	6947
503	7046	6934
504	7060	6920
505	7072	6904
506	7085	6889
507	7099	6876
508	7114	6863
509	7130	6850
510	7146	6838
511	7159	6824
512	7174	6810
513	7189	6798
514	7202	6782
515	7216	6768
516	7230	6754
517	7243	6739
518	7257	6726
519	7271	6712
520	7285	6697
521	7298	6683
522	7312	6668
523	7323	6653
524	7339	6640
525	7354	6627
526	7367	6612
527	7379	6597
528	7393	6583
529	7406	6568
530	7419	6553
531	7432	6538
532	7445	6523
533	7459	6509
534	7472	6495
535	7487	6482
536	7502	6468
537	7519	6457
538	7536	6446
539	7551	6433
540	7566	6420
541	7581	6406
542	7597	6394
543	7610	6379
544	7624	6365
545	7638	6351
546	7652	6337
547	7664	6322
548	7680	6309
549	7695	6296
550	7709	6282
551	7723	6268
552	7736	6253
553	7751	6240
554	7765	6226
555	7778	6211
556	7792	6197
557	7805	6183
558	7819	6168
559	7835	6156
560	7848	6141
561	7861	6127
562	7876	6113
563	7890	6100
564	7907	6088
565	7920	6073
566	7935	6060
567	7951	6047
568	7966	6034
569	7978	6019
570	7993	6005
571	8005	5990
572	8020	5976
573	8031	5960
574	8044	5945
575	8057	5931
576	8069	5915
577	8084	5902
578	8100	5889
579	8115	5876
580	8127	5861
581	8140	5846
582	8153	5832
583	8168	5818
584	8184	5805
585	8197	5791
586	8209	5775
587	8225	5763
588	8237	5748
589	8251	5734
590	8266	5720
591	8278	5705
592	8291	5690
593	8304	5676
594	8318	5662
595	8333	5648
596	8347	5635
597	8361	5620
598	8373	5605
599	8388	5592
600	8405	5580
601	8437	5578
602	8464	5572
603	8507	5577
604	8555	5585
605	8601	5592
606	8661	5607
607	8728	5627
608	8795	5647
609	8840	5652
610	8877	5651
611	8906	5646
612	8967	5661
613	9001	5658
614	9048	5664
615	9064	5650
616	9077	5634
617	9090	5619
618	9105	5604
619	9122	5591
620	9137	5576
621	9155	5563
622	9169	5548
623	9182	5532
624	9195	5517
625	9210	5502
626	9224	5487
627	9236	5471
628	9251	5456
629	9265	5441
630	9277	5425
631	9291	5410
632	9306	5395
633	9320	5380
634	9333	5364
635	9346	5349
636	9359	5333
637	9373	5318
638	9389	5304
639	9406	5291
640	9420	5275
641	9433	5260
642	9447	5245
643	9461	5230
644	9474	5214
645	9488	5199
646	9501	5183
647	9515	5168
648	9528	5153
649	9544	5139
650	9557	5123
651	9571	5108
652	9587	5094
653	9603	5080
654	9618	5066
655	9632	5051
656	9647	5036
657	9663	5022
658	9678	5008
659	9691	4992
660	9705	4977
661	9717	4961
662	9729	4945
663	9745	4931
664	9758	4915
665	9771	4900
666	9782	4884
667	9798	4869
668	9811	4854
669	9826	4839
670	9838	4824
671	9853	4809
672	9868	4794
673	9882	4779
674	9895	4764
675	9907	4748
676	9922	4733
677	9935	4718
678	9948	4703
679	9962	4688
680	9975	4672
681	9989	4657
682	10002	4642
683	10017	4628
684	10032	4613
685	10045	4598
686	10061	4584
687	10076	4569
688	10090	4554
689	10102	4538
690	10115	4523
691	10127	4507
692	10142	4493
693	10158	4479
694	10173	4464
695	10186	4449
696	10199	4434
697	10212	4418
698	10227	4404
699	10242	4389
700	10254	4373
701	10269	4359
702	10283	4344
703	10296	4329
704	10312	4315
705	10324	4299
706	10337	4284
707	10351	4269
708	10363	4253
709	10377	4238
710	10391	4223
711	10406	4209
712	10420	4194
713	10435	4180
714	10450	4165
715	10466	4151
716	10478	4135
717	10491	4120
718	10503	4105
719	10517	4090
720	10531	4075
721	10548	4061
722	10560	4046
723	10575	4031
724	10589	4016
725	10605	4002
726	10618	3987
727	10632	3972
728	10648	3958
729	10662	3943
730	10677	3929
731	10691	3914
732	10705	3899
733	10720	3885
734	10734	3870
735	10747	3855
736	10762	3840
737	10778	3826
738	10792	3811
739	10808	3797
740	10820	3782
741	10834	3767
742	10850	3753
743	10863	3737
744	10877	3723
745	10891	3708
746	10908	3694
747	10921	3679
748	10934	3664
749	10947	3649
750	10961	3634
751	10975	3619
752	10988	3604
753	11002	3589
754	11015	3574
755	11029	3559
756	11043	3545
757	11059	3530
758	11072	3515
759	11085	3500
760	11101	3486
761	11115	3471
762	11129	3457
763	11142	3441
764	11155	3426
765	11172	3413
766	11187	3398
767	11201	3383
768	11217	3369
769	11232	3355
770	11246	3340
771	11258	3325
772	11271	3309
773	11284	3295
774	11299	3280
775	11312	3265
776	11325	3250
777	11340	3235
778	11355	3221
779	11373	3207
780	11388	3193
781	11404	3179
782	11417	3164
783	11431	3149
784	11445	3134
785	11458	3119
786	11473	3105
787	11487	3090
788	11502	3075
789	11516	3061
790	11530	3046
791	11544	3031
792	11559	3017
793	11572	3002
794	11586	2987
795	11600	2972
796	11615	2958
797	11628	2943
798	11643	2929
799	11657	2914
800	11672	2899
801	11686	2885
802	11700	2870
803	11715	2855
804	11728	2841
805	11741	2825
806	11753	2811
807	11767	2796
808	11781	2781
809	11796	2767
810	11810	2752
811	11823	2737
812	11836	2722
813	11850	2707
814	11866	2693
815	11882	2679
816	11894	2664
817	11907	2649
818	11921	2634
819	11937	2620
820	11950	2605
821	11964	2590
822	11976	2575
823	11989	2560
824	12003	2546
825	12015	2531
826	12028	2516
827	12043	2501
828	12059	2487
829	12070	2472
830	12082	2457
831	12097	2442
832	12110	2427
833	12123	2413
834	12137	2398
835	12150	2383
836	12164	2368
837	12181	2354
838	12192	2339
839	12206	2325
840	12218	2310
841	12233	2295
842	12246	2280
843	12259	2266
844	12272	2251
845	12288	2236
846	12302	2222
847	12315	2207
848	12330	2193
849	12344	2178
850	12358	2163
851	12371	2149
852	12383	2134
853	12400	2119
854	12417	2105
855	12434	2091
856	12449	2077
857	12464	2062
858	12477	2048
859	12490	2033
860	12504	2018
861	12518	2004
862	12532	1989
863	12545	1974
864	12560	1960
865	12574	1945
866	12586	1930
867	12601	1916
868	12613	1901
869	12626	1886
870	12639	1872
871	12653	1857
872	12667	1842
873	12684	1828
874	12698	1814
875	12710	1799
876	12726	1784
877	12741	1770
878	12754	1755
879	12767	1741
880	12781	1726
881	12795	1711
882	12810	1697
883	12823	1682
884	12836	1668
885	12849	1653
886	12862	1638
887	12876	1624
888	12890	1609
889	12904	1594
890	12918	1580
891	12931	1565
892	12946	1551
893	12960	1536
894	12974	1522
895	12989	1507
896	13003	1493
897	13017	1478
898	13034	1464
899	13046	1449
900	13059	1434
901	13072	1420
902	13087	1405
903	13100	1391
904	13114	1376
905	13127	1362
906	13141	1347
907	13155	1332
908	13172	1318
909	13186	1304
910	13199	1289
911	13213	1274
912	13228	1260
913	13242	1246
914	13255	1231
915	13270	1216
916	13283	1202
917	13298	1187
918	13311	1173
919	13322	1158
920	13335	1143
921	13347	1129
922	13360	1114
923	13371	1099
924	13385	1085
925	13397	1070
926	13412	1056
927	13427	1041
928	13440	1027
929	13454	1012
930	13465	998
931	13476	983
932	13491	968
933	13506	954
934	13521	940
935	13535	925
936	13548	910
937	13561	896
938	13571	881
939	13584	867
940	13598	852
941	13609	837
942	13624	823
943	13639	809
944	13650	794
945	13663	779
946	13680	765
947	13695	751
948	13710	736
949	13724	722
950	13737	707
951	13752	693
952	13766	678
953	13780	664
954	13796	650
955	13810	635
956	13826	621
957	13842	606
958	13856	592
959	13869	577
960	13881	563
961	13893	548
962	13906	534
963	13917	519
964	13931	505
965	13947	490
966	13960	476
967	13974	461
968	13990	447
969	14003	433
970	14017	418
971	14030	404
972	14041	389
973	14057	375
974	14070	360
975	14083	346
976	14100	331
977	14114	317
978	14127	303
979	14141	288
980	14155	274
981	14170	259
982	14184	245
983	14197	230
984	14208	216
985	14222	201
986	14232	187
987	14246	173
988	14257	158
989	14272	144
990	14285	129
991	14299	115
992	14312	100
993	14326	86
994	14341	72
995	14356	57
996	14370	43
997	14383	28
998	14397	14
999	14410	0
