iter	RMSE
0	7174952.253
1	6787677.649
2	6441953.874
3	6122776.664
4	5841511.255
5	5599472.571
6	5369553.191
7	5162489.545
8	4973674.774
9	4813864.11
10	4671390.578
11	4537508.182
12	4419999.926
13	4318616.982
14	4229688.161
15	4150594.597
16	4076956.084
17	4007286.247
18	3949111.658
19	3896821.989
20	3848978.231
21	3805558.767
22	3769583.737
23	3733851.095
24	3704144.289
25	3673679.797
26	3647327.393
27	3625704.74
28	3605627.211
29	3582254.657
30	3562582.437
31	3546857.148
32	3533216.569
33	3518454.481
34	3507055.015
35	3496885.504
36	3484372.039
37	3472250.445
38	3462677.858
39	3454406.814
40	3444684.544
41	3435026.6
42	3428750.591
43	3421546.012
44	3415018.111
45	3409215.442
46	3402650.015
47	3397763.419
48	3391146.164
49	3385505.755
50	3380194.046
51	3375570.68
52	3371357.874
53	3367820.556
54	3364465.116
55	3360349.569
56	3356040.313
57	3352479.613
58	3349520.136
59	3346264.612
60	3342399.378
61	3338624.51
62	3335353.364
63	3333146.434
64	3331420.237
65	3328620.506
66	3325815.675
67	3321328.061
68	3315635.56
69	3312191.045
70	3310366.771
71	3306084.633
72	3304243.728
73	3300359.568
74	3297735.936
75	3295493.994
76	3293380.117
77	3291780.517
78	3289653.484
79	3287936.211
80	3284862.026
81	3282077.422
82	3279650.78
83	3276969.786
84	3273387.799
85	3271796.352
86	3269091.631
87	3268019.046
88	3266352.11
89	3264068.516
90	3262749.179
91	3261562.006
92	3259458.568
93	3257447.27
94	3255503.682
95	3253273.915
96	3252063.25
97	3249492.12
98	3246169.061
99	3244055.394
100	3241634.541
101	3239857.13
102	3238116.795
103	3236633.286
104	3234896.224
105	3233317.653
106	3232105.414
107	3230143.808
108	3228366.106
109	3227462.767
110	3226256.335
111	3223122.945
112	3221061.718
113	3218786.648
114	3217482.486
115	3216065.906
116	3214770.089
117	3213725.582
118	3212458.258
119	3209920.382
120	3209103.977
121	3207666.926
122	3206297.177
123	3205317.22
124	3203130.278
125	3201477.744
126	3199767.033
127	3198564.987
128	3197235.586
129	3195753.774
130	3194185.918
131	3192613.62
132	3191079.337
133	3188129.356
134	3186760.653
135	3184313.089
136	3183346.485
137	3182046.615
138	3181259.084
139	3179255.093
140	3178068.608
141	3176260.785
142	3174531.193
143	3173503.369
144	3172550.327
145	3171364.991
146	3169947.165
147	3168522.754
148	3167768.808
149	3166821.635
150	3165670.5
151	3164521.512
152	3163609.402
153	3162557.477
154	3161725.408
155	3160112.409
156	3158334.375
157	3156500.695
158	3156054.089
159	3154370.486
160	3153493.385
161	3151919.9
162	3150985.083
163	3150076.374
164	3148405.066
165	3147193.846
166	3146172.907
167	3145116.665
168	3143821.665
169	3141870.814
170	3139087.088
171	3137462.536
172	3136332.386
173	3134894.317
174	3134157.996
175	3132898.976
176	3130888.386
177	3129808.346
178	3129021.301
179	3128378.695
180	3126955.148
181	3125314.492
182	3123419.988
183	3122501.182
184	3120447.472
185	3118825.811
186	3117240.469
187	3116436.529
188	3115645.516
189	3115084.684
190	3113123.249
191	3112172.174
192	3110938.789
193	3110096.903
194	3108211.357
195	3107205.894
196	3105892.323
197	3104828.129
198	3103612.018
199	3102389.189
200	3101274.901
201	3100253.105
202	3099388.676
203	3098439.177
204	3097809.083
205	3096628.321
206	3095684.165
207	3094837.578
208	3094344.186
209	3092861.987
210	3092194.397
211	3091500.175
212	3090736.68
213	3089946.689
214	3089056.14
215	3087127.83
216	3086362.138
217	3085442.779
218	3083494.33
219	3082917.038
220	3081823.255
221	3081274.925
222	3079919.885
223	3078377.206
224	3077884.338
225	3076736.848
226	3075736.146
227	3074241.099
228	3072943.193
229	3071422.446
230	3069994.053
231	3069287.155
232	3068551.138
233	3067613.669
234	3066760.129
235	3065754.985
236	3065129.375
237	3064067.786
238	3063499.207
239	3062637.561
240	3061878.444
241	3061260.465
242	3060172.415
243	3059518.754
244	3058531.584
245	3057592.87
246	3056922.429
247	3056355.317
248	3055491.26
249	3054098.306
250	3052801.461
251	3052085.605
252	3051608.387
253	3050799.899
254	3050154.333
255	3049429.574
256	3048613.622
257	3048066.817
258	3046805.863
259	3045883.791
260	3044925.474
261	3044196.26
262	3043104.25
263	3042364.478
264	3041136.841
265	3040341.285
266	3039372.477
267	3038843.933
268	3038273.564
269	3037724.432
270	3037117.118
271	3036015.793
272	3034963.535
273	3034222.027
274	3033863.961
275	3032824.984
276	3032122.823
277	3031264.885
278	3030201.903
279	3029681.853
280	3028734.93
281	3028205.683
282	3027730.408
283	3026591.076
284	3026044.253
285	3025190.156
286	3024752.595
287	3024081.573
288	3023182.109
289	3022810.708
290	3021782.342
291	3021568.003
292	3020550.501
293	3019705.16
294	3018467.754
295	3017966.9
296	3017126.18
297	3016675.35
298	3015635.213
299	3015263.771
300	3014449.525
301	3014040.884
302	3013407.699
303	3012842.481
304	3012225.327
305	3011349.694
306	3010770.435
307	3010248.819
308	3009266.367
309	3008306.297
310	3007358.971
311	3006689.28
312	3005756.051
313	3005376.549
314	3004688.157
315	3003873.072
316	3003074.083
317	3002405.854
318	3001826.67
319	3001145.897
320	3000397.313
321	2999389.341
322	2998728.964
323	2998202.44
324	2997502.214
325	2997120.595
326	2996001.832
327	2995392.872
328	2994832.203
329	2994416.932
330	2994026.867
331	2993280.14
332	2992551.583
333	2991712.495
334	2990982.612
335	2990507.254
336	2990205.753
337	2989614.941
338	2988887.48
339	2988220.377
340	2987767.629
341	2987156.599
342	2986458.535
343	2986160.798
344	2985557.612
345	2985079.794
346	2984475.297
347	2983934.132
348	2983399.724
349	2982807.379
350	2982263.677
351	2981658.167
352	2980642.492
353	2980006.601
354	2979338.291
355	2978909.015
356	2978564.038
357	2977566.309
358	2976917.504
359	2976408.229
360	2975851.1
361	2975336.664
362	2974748.332
363	2974439.875
364	2973806.23
365	2972986.787
366	2972444.418
367	2972028.322
368	2971484.455
369	2970941.145
370	2970539.53
371	2969966.372
372	2969025.027
373	2968450.937
374	2968183.108
375	2967401.083
376	2967061.239
377	2966527.528
378	2965913.584
379	2965158.17
380	2964759.685
381	2963976.514
382	2963043.615
383	2961942.149
384	2961280.969
385	2960350.771
386	2959916.484
387	2959478.979
388	2958941.337
389	2958401.503
390	2957777.748
391	2957390.307
392	2956779.201
393	2955936.008
394	2955371.942
395	2954665.406
396	2954000.735
397	2953350.679
398	2952843.711
399	2952522.656
400	2952201.657
401	2951683.11
402	2951106.927
403	2950668.399
404	2950130.964
405	2949759.923
406	2949234.216
407	2948563.447
408	2948039.362
409	2947554.622
410	2946880.136
411	2946523.334
412	2946028.165
413	2945430.701
414	2945049.183
415	2944654.495
416	2944003.139
417	2943410.319
418	2942977.251
419	2942735.533
420	2942230.28
421	2941819.148
422	2941212.886
423	2940922.834
424	2940444.356
425	2939814.419
426	2939257.668
427	2938923.287
428	2938284.817
429	2937661.455
430	2937000.974
431	2936548.275
432	2935890.154
433	2935519.37
434	2934843.202
435	2934096.215
436	2933549.01
437	2932987.824
438	2932697.974
439	2931914.244
440	2931389.439
441	2930959.592
442	2930284.874
443	2929725.275
444	2929078.551
445	2928548.057
446	2927854.683
447	2927101.801
448	2926403.414
449	2926054.91
450	2925372.294
451	2924898.157
452	2924391.106
453	2923898.622
454	2923448.376
455	2922954.491
456	2922435.243
457	2921866.821
458	2921543.532
459	2921374.173
460	2920838.991
461	2920396.479
462	2920042.872
463	2919759.699
464	2919356.625
465	2919013.218
466	2918697.037
467	2918390.219
468	2917635.558
469	2917080.704
470	2916780.564
471	2916517.968
472	2916107.268
473	2915462.849
474	2914748.98
475	2914362.678
476	2913825.286
477	2913277.26
478	2912907.564
479	2912499.039
480	2911980.698
481	2911530.092
482	2911105.637
483	2910910.959
484	2910624.518
485	2910238.605
486	2909939.945
487	2909541.705
488	2909011.304
489	2908474.543
490	2908094.226
491	2907657.416
492	2907300.136
493	2906894.224
494	2906617.973
495	2906262.978
496	2905748.904
497	2905508.866
498	2905140.043
499	2904654.812
500	2904395.101
501	2903947.511
502	2903519.49
503	2903067.171
504	2902842.086
505	2902172.495
506	2901794.52
507	2901372.648
508	2901142.195
509	2900935.365
510	2900539.478
511	2900342.629
512	2899649.666
513	2899113.16
514	2898598.355
515	2898164.852
516	2897705.713
517	2897212.667
518	2896735.873
519	2896286.194
520	2895846.405
521	2895611.359
522	2894993.124
523	2894505.07
524	2894086.105
525	2893491.337
526	2893122.623
527	2892618.186
528	2892376.056
529	2891791.441
530	2891398.511
531	2890913.477
532	2890695.234
533	2890166.209
534	2889900.387
535	2889612.994
536	2889393.586
537	2888919.038
538	2888462.741
539	2887994.362
540	2887670.749
541	2887170.835
542	2886823.334
543	2886429.41
544	2886102.386
545	2885744.512
546	2885551.306
547	2885242.793
548	2884523.19
549	2884362.786
550	2883954.709
551	2883524.504
552	2883117.63
553	2882895.789
554	2882475.877
555	2882070.339
556	2881781.984
557	2881566.195
558	2880811.213
559	2880584.628
560	2880184.208
561	2879607.327
562	2879147.277
563	2878522.619
564	2878028.004
565	2877633.876
566	2877400.586
567	2876718.017
568	2876378.404
569	2875834.373
570	2875293.409
571	2874913.524
572	2874439.674
573	2873863.54
574	2873310.692
575	2872833.537
576	2872464.866
577	2872154.483
578	2871638.723
579	2870974.072
580	2870527.164
581	2870114.272
582	2869608.171
583	2869009.237
584	2868570.212
585	2868265.952
586	2867761.806
587	2867449.377
588	2867125.391
589	2866775.276
590	2866366.801
591	2865818.132
592	2865524.184
593	2865243.908
594	2864832.804
595	2864293.828
596	2863875.849
597	2863306.033
598	2863012.36
599	2862664.462
600	2862281.791
601	2861746.58
602	2861576.336
603	2861360.759
604	2861008.562
605	2860803.278
606	2860384.988
607	2859880.268
608	2859310.606
609	2859019.768
610	2858538.541
611	2858233.047
612	2857830.61
613	2857247.937
614	2856731.849
615	2856278.211
616	2855964.794
617	2855699.242
618	2855510.256
619	2855240.852
620	2854654.716
621	2854395.703
622	2854026.744
623	2853513.992
624	2853083.444
625	2852746.986
626	2852250.509
627	2851917.236
628	2851538.621
629	2851178.766
630	2850636.698
631	2850005.217
632	2849580.609
633	2849185.929
634	2849023.327
635	2848740.95
636	2848462.662
637	2848215.677
638	2848024.593
639	2847544.316
640	2847125.967
641	2846694.899
642	2846205.595
643	2845869.079
644	2845618.022
645	2845070.526
646	2844886.352
647	2844675.148
648	2844319.719
649	2844103.422
650	2843874.499
651	2843404.639
652	2842860.211
653	2842690.959
654	2842227.592
655	2841712.966
656	2841400.933
657	2840952.534
658	2840294.113
659	2840012.344
660	2839662.848
661	2839186.936
662	2838694.138
663	2838072.112
664	2837687.126
665	2837366.035
666	2837077.252
667	2836754.022
668	2836606.454
