iter	Passed	Remaining
0	64	64462
1	110	55299
2	145	48430
3	193	48206
4	222	44262
5	257	42703
6	313	44502
7	348	43165
8	395	43603
9	445	44127
10	484	43581
11	521	42917
12	571	43398
13	608	42854
14	647	42545
15	693	42662
16	734	42449
17	799	43608
18	849	43875
19	889	43598
20	934	43578
21	972	43252
22	1019	43315
23	1063	43260
24	1096	42776
25	1132	42440
26	1179	42509
27	1226	42565
28	1264	42336
29	1310	42373
30	1356	42413
31	1394	42169
32	1437	42121
33	1475	41919
34	1519	41906
35	1554	41614
36	1597	41569
37	1637	41455
38	1675	41284
39	1712	41101
40	1747	40885
41	1789	40814
42	1826	40653
43	1867	40577
44	1905	40429
45	1955	40547
46	1993	40419
47	2028	40227
48	2061	40019
49	2101	39925
50	2145	39931
51	2178	39708
52	2216	39602
53	2255	39521
54	2293	39409
55	2329	39264
56	2362	39078
57	2400	38987
58	2441	38939
59	2477	38816
60	2518	38772
61	2549	38575
62	2581	38401
63	2620	38321
64	2659	38252
65	2702	38242
66	2736	38102
67	2777	38064
68	2814	37982
69	2848	37847
70	2909	38070
71	2948	38007
72	2988	37952
73	3023	37836
74	3063	37780
75	3105	37758
76	3143	37683
77	3179	37580
78	3219	37529
79	3250	37377
80	3287	37300
81	3322	37197
82	3362	37144
83	3401	37096
84	3440	37031
85	3474	36929
86	3517	36917
87	3563	36930
88	3603	36881
89	3641	36815
90	3677	36734
91	3714	36658
92	3753	36608
93	3792	36555
94	3834	36525
95	3866	36411
96	3898	36293
97	3938	36246
98	3977	36202
99	4017	36159
100	4059	36132
101	4114	36222
102	4156	36196
103	4198	36173
104	4236	36111
105	4277	36072
106	4318	36041
107	4358	36001
108	4398	35950
109	4431	35858
110	4473	35827
111	4518	35825
112	4567	35855
113	4606	35798
114	4648	35772
115	4688	35726
116	4719	35617
117	4753	35529
118	4790	35462
119	4829	35412
120	4864	35334
121	4903	35285
122	4938	35215
123	4977	35166
124	5015	35107
125	5054	35057
126	5082	34937
127	5118	34866
128	5155	34809
129	5199	34796
130	5241	34771
131	5290	34787
132	5332	34759
133	5374	34733
134	5413	34683
135	5447	34606
136	5496	34622
137	5535	34575
138	5574	34529
139	5614	34490
140	5652	34434
141	5687	34362
142	5722	34292
143	5760	34240
144	5792	34153
145	5825	34075
146	5865	34034
147	5904	33988
148	5940	33926
149	5985	33916
150	6030	33905
151	6063	33829
152	6101	33776
153	6136	33711
154	6174	33662
155	6207	33585
156	6250	33560
157	6297	33560
158	6334	33502
159	6367	33429
160	6399	33348
161	6442	33325
162	6476	33258
163	6526	33269
164	6562	33208
165	6595	33136
166	6631	33075
167	6666	33015
168	6699	32942
169	6743	32921
170	6781	32874
171	6821	32838
172	6854	32765
173	6887	32694
174	6924	32645
175	6961	32592
176	6996	32532
177	7035	32488
178	7071	32433
179	7109	32385
180	7144	32327
181	7183	32287
182	7226	32262
183	7265	32221
184	7293	32128
185	7323	32052
186	7360	31999
187	7396	31945
188	7434	31900
189	7471	31850
190	7512	31819
191	7548	31765
192	7586	31719
193	7620	31659
194	7659	31621
195	7694	31561
196	7732	31520
197	7772	31482
198	7804	31413
199	7852	31409
200	7891	31368
201	7934	31343
202	7978	31325
203	8016	31280
204	8051	31223
205	8086	31167
206	8105	31049
207	8122	30929
208	8140	30808
209	8155	30679
210	8171	30557
211	8190	30444
212	8209	30331
213	8224	30208
214	8243	30097
215	8259	29980
216	8276	29864
217	8302	29780
218	8320	29674
219	8338	29562
220	8353	29444
221	8368	29329
222	8385	29218
223	8402	29108
224	8419	29001
225	8436	28891
226	8466	28830
227	8514	28829
228	8540	28754
229	8556	28645
230	8571	28536
231	8588	28431
232	8605	28327
233	8622	28225
234	8637	28117
235	8652	28010
236	8667	27904
237	8683	27802
238	8701	27706
239	8717	27604
240	8732	27502
241	8751	27410
242	8766	27309
243	8780	27206
244	8799	27117
245	8815	27019
246	8831	26924
247	8848	26832
248	8867	26745
249	8882	26648
250	8898	26553
251	8919	26474
252	8934	26380
253	8950	26287
254	8967	26200
255	8986	26116
256	9005	26035
257	9020	25943
258	9037	25855
259	9050	25759
260	9067	25673
261	9083	25586
262	9103	25509
263	9120	25426
264	9138	25347
265	9156	25266
266	9172	25181
267	9191	25103
268	9209	25025
269	9225	24943
270	9241	24858
271	9257	24777
272	9277	24705
273	9294	24628
274	9310	24544
275	9335	24487
276	9353	24413
277	9369	24334
278	9385	24253
279	9402	24178
280	9420	24105
281	9435	24024
282	9450	23944
283	9467	23869
284	9485	23796
285	9500	23717
286	9520	23651
287	9535	23573
288	9552	23501
289	9568	23427
290	9585	23354
291	9603	23283
292	9621	23216
293	9638	23144
294	9655	23076
295	9673	23006
296	9689	22935
297	9707	22867
298	9723	22796
299	9739	22725
300	9756	22656
301	9775	22592
302	9793	22528
303	9808	22455
304	9825	22388
305	9839	22316
306	9855	22246
307	9872	22180
308	9888	22113
309	9904	22046
310	9930	22000
311	9947	21934
312	9966	21874
313	9982	21808
314	9999	21745
315	10017	21682
316	10033	21618
317	10048	21549
318	10064	21486
319	10081	21422
320	10098	21360
321	10116	21301
322	10132	21237
323	10154	21186
324	10170	21123
325	10186	21060
326	10205	21004
327	10220	20939
328	10236	20878
329	10252	20815
330	10270	20758
331	10286	20696
332	10300	20632
333	10316	20571
334	10333	20513
335	10349	20452
336	10376	20414
337	10396	20361
338	10413	20305
339	10430	20247
340	10448	20193
341	10467	20139
342	10482	20079
343	10499	20023
344	10516	19966
345	10532	19908
346	10549	19853
347	10564	19794
348	10582	19739
349	10600	19686
350	10618	19632
351	10633	19576
352	10649	19519
353	10665	19463
354	10686	19416
355	10701	19359
356	10717	19302
357	10732	19247
358	10750	19195
359	10768	19144
360	10782	19086
361	10797	19030
362	10814	18976
363	10828	18920
364	10844	18866
365	10862	18816
366	10877	18762
367	10894	18710
368	10911	18658
369	10931	18613
370	10947	18560
371	10963	18508
372	10980	18458
373	10996	18405
374	11016	18360
375	11032	18308
376	11048	18257
377	11063	18204
378	11079	18153
379	11095	18102
380	11113	18055
381	11126	18001
382	11144	17952
383	11163	17907
384	11182	17862
385	11199	17815
386	11227	17784
387	11244	17736
388	11262	17689
389	11279	17642
390	11299	17599
391	11316	17551
392	11333	17504
393	11347	17453
394	11366	17410
395	11388	17370
396	11404	17322
397	11423	17279
398	11440	17232
399	11456	17184
400	11473	17138
401	11492	17095
402	11508	17048
403	11525	17003
404	11541	16956
405	11559	16911
406	11576	16866
407	11593	16821
408	11611	16778
409	11628	16733
410	11646	16690
411	11663	16645
412	11682	16603
413	11698	16558
414	11712	16510
415	11729	16466
416	11746	16422
417	11761	16376
418	11779	16334
419	11795	16289
420	11813	16246
421	11830	16203
422	11848	16161
423	11865	16118
424	11878	16070
425	11894	16026
426	11910	15983
427	11928	15941
428	11949	15905
429	11969	15866
430	11987	15826
431	12005	15784
432	12024	15745
433	12040	15702
434	12058	15662
435	12073	15618
436	12090	15575
437	12107	15535
438	12126	15496
439	12145	15457
440	12160	15414
441	12174	15369
442	12192	15330
443	12209	15289
444	12225	15247
445	12242	15207
446	12265	15174
447	12284	15136
448	12299	15093
449	12314	15051
450	12330	15009
451	12345	14967
452	12361	14926
453	12377	14885
454	12393	14845
455	12411	14806
456	12427	14766
457	12444	14726
458	12461	14688
459	12480	14651
460	12498	14613
461	12513	14571
462	12527	14529
463	12543	14490
464	12559	14450
465	12576	14411
466	12595	14375
467	12613	14338
468	12630	14299
469	12645	14259
470	12662	14221
471	12677	14182
472	12692	14141
473	12707	14101
474	12723	14062
475	12740	14025
476	12756	13986
477	12775	13951
478	12792	13913
479	12809	13877
480	12825	13838
481	12839	13798
482	12858	13763
483	12874	13726
484	12893	13690
485	12910	13654
486	12928	13619
487	12957	13594
488	12975	13558
489	12990	13521
490	13005	13482
491	13025	13448
492	13058	13429
493	13096	13414
494	13132	13397
495	13164	13376
496	13181	13340
497	13200	13306
498	13218	13271
499	13233	13233
500	13248	13196
501	13267	13161
502	13295	13136
503	13314	13103
504	13330	13066
505	13349	13032
506	13366	12997
507	13381	12960
508	13401	12927
509	13418	12892
510	13434	12856
511	13451	12820
512	13470	12787
513	13490	12755
514	13507	12720
515	13522	12684
516	13539	12649
517	13559	12616
518	13574	12581
519	13594	12548
520	13610	12512
521	13627	12478
522	13645	12444
523	13659	12408
524	13676	12374
525	13694	12340
526	13709	12304
527	13723	12268
528	13743	12236
529	13757	12200
530	13774	12166
531	13791	12132
532	13811	12100
533	13828	12067
534	13844	12033
535	13861	11999
536	13879	11966
537	13895	11932
538	13924	11909
539	13946	11880
540	13968	11851
541	13987	11819
542	14013	11794
543	14036	11765
544	14078	11753
545	14115	11736
546	14147	11716
547	14177	11693
548	14201	11666
549	14233	11645
550	14250	11612
551	14267	11579
552	14285	11547
553	14303	11514
554	14323	11484
555	14341	11452
556	14355	11417
557	14371	11384
558	14389	11352
559	14409	11321
560	14426	11289
561	14442	11256
562	14461	11224
563	14477	11191
564	14492	11157
565	14510	11126
566	14527	11093
567	14542	11060
568	14559	11028
569	14573	10994
570	14590	10962
571	14608	10930
572	14625	10898
573	14642	10867
574	14660	10835
575	14675	10802
576	14693	10771
577	14710	10740
578	14725	10707
579	14741	10674
580	14756	10642
581	14774	10611
582	14793	10581
583	14808	10548
584	14827	10518
585	14846	10488
586	14865	10458
587	14881	10426
588	14896	10394
589	14910	10361
590	14928	10331
591	14961	10311
592	14981	10282
593	14998	10251
594	15013	10219
595	15033	10190
596	15049	10158
597	15068	10129
598	15084	10098
599	15099	10066
600	15116	10035
601	15133	10005
602	15150	9975
603	15167	9944
604	15183	9913
605	15199	9882
606	15217	9852
607	15232	9820
608	15250	9791
609	15266	9760
610	15283	9730
611	15301	9700
612	15317	9670
613	15338	9642
614	15355	9613
615	15374	9583
616	15390	9553
617	15409	9525
618	15425	9494
619	15441	9464
620	15462	9436
621	15480	9408
622	15495	9376
623	15511	9346
624	15528	9316
625	15545	9287
626	15560	9256
627	15581	9229
628	15598	9200
629	15616	9171
630	15633	9142
631	15649	9112
632	15665	9082
633	15680	9052
634	15699	9023
635	15717	8995
636	15734	8966
637	15754	8939
638	15771	8909
639	15789	8881
640	15803	8851
641	15820	8821
642	15838	8793
643	15856	8765
644	15874	8737
645	15894	8709
646	15910	8680
647	15928	8652
648	15943	8622
649	15960	8593
650	15989	8572
651	16011	8545
652	16027	8516
653	16044	8488
654	16063	8460
655	16081	8432
656	16098	8404
657	16114	8375
658	16130	8346
659	16146	8317
660	16161	8288
661	16177	8259
662	16196	8232
663	16221	8208
664	16243	8182
665	16264	8156
666	16280	8128
667	16299	8100
668	16312	8070
669	16331	8044
670	16348	8015
671	16363	7986
672	16383	7960
673	16399	7932
674	16415	7903
675	16430	7875
676	16452	7849
677	16470	7822
678	16487	7794
679	16504	7766
680	16522	7739
681	16539	7712
682	16556	7684
683	16575	7657
684	16591	7629
685	16610	7603
686	16625	7574
687	16643	7547
688	16660	7520
689	16676	7492
690	16692	7464
691	16707	7436
692	16724	7409
693	16742	7382
694	16759	7354
695	16776	7327
696	16792	7300
697	16808	7272
698	16826	7245
699	16843	7218
700	16861	7191
701	16881	7166
702	16897	7138
703	16912	7110
704	16930	7084
705	16945	7056
706	16961	7029
707	16976	7001
708	17002	6978
709	17017	6950
710	17033	6923
711	17051	6897
712	17070	6871
713	17087	6844
714	17103	6817
715	17119	6790
716	17136	6763
717	17152	6736
718	17169	6710
719	17185	6683
720	17200	6655
721	17218	6629
722	17235	6603
723	17252	6576
724	17279	6554
725	17294	6527
726	17310	6500
727	17323	6472
728	17340	6446
729	17360	6420
730	17374	6393
731	17390	6366
732	17409	6341
733	17426	6315
734	17445	6289
735	17462	6263
736	17477	6236
737	17493	6210
738	17509	6184
739	17526	6157
740	17543	6132
741	17560	6105
742	17576	6079
743	17590	6052
744	17606	6026
745	17623	6000
746	17639	5974
747	17656	5948
748	17672	5922
749	17689	5896
750	17705	5870
751	17721	5844
752	17739	5818
753	17754	5792
754	17770	5766
755	17785	5740
756	17804	5715
757	17822	5689
758	17838	5664
759	17854	5638
760	17869	5612
761	17887	5587
762	17907	5562
763	17924	5536
764	17940	5511
765	17957	5485
766	17974	5460
767	17989	5434
768	18015	5411
769	18032	5386
770	18049	5361
771	18068	5336
772	18137	5326
773	18203	5315
774	18241	5296
775	18267	5273
776	18284	5247
777	18314	5226
778	18333	5201
779	18349	5175
780	18364	5149
781	18381	5124
782	18397	5098
783	18413	5073
784	18431	5048
785	18452	5024
786	18476	5000
787	18501	4977
788	18529	4955
789	18551	4931
790	18569	4906
791	18586	4881
792	18601	4855
793	18619	4830
794	18636	4805
795	18653	4780
796	18669	4755
797	18687	4730
798	18703	4705
799	18721	4680
800	18737	4655
801	18755	4630
802	18772	4605
803	18791	4581
804	18809	4556
805	18825	4531
806	18842	4506
807	18859	4481
808	18874	4456
809	18893	4431
810	18910	4406
811	18925	4381
812	18942	4356
813	18960	4332
814	18976	4307
815	18993	4282
816	19014	4259
817	19031	4234
818	19050	4210
819	19067	4185
820	19085	4161
821	19101	4136
822	19119	4111
823	19137	4087
824	19160	4064
825	19180	4040
826	19196	4015
827	19212	3991
828	19230	3966
829	19260	3944
830	19277	3920
831	19291	3895
832	19307	3870
833	19336	3848
834	19354	3824
835	19370	3800
836	19389	3775
837	19415	3753
838	19434	3729
839	19453	3705
840	19471	3681
841	19488	3656
842	19505	3632
843	19522	3608
844	19536	3583
845	19548	3558
846	19565	3534
847	19583	3510
848	19599	3485
849	19615	3461
850	19630	3437
851	19651	3413
852	19669	3389
853	19685	3365
854	19701	3341
855	19719	3317
856	19736	3293
857	19753	3269
858	19767	3244
859	19784	3220
860	19800	3196
861	19815	3172
862	19832	3148
863	19844	3123
864	19858	3099
865	19873	3075
866	19887	3050
867	19906	3027
868	19921	3003
869	19937	2979
870	19953	2955
871	19968	2931
